smodel	buoni
CRC0014	FALSE
CRC0018	FALSE
CRC0019	FALSE
CRC0022	TRUE
CRC0028	FALSE
CRC0029	FALSE
CRC0030	TRUE
CRC0031	TRUE
CRC0051	TRUE
CRC0055	TRUE
CRC0058	FALSE
CRC0059	TRUE
CRC0063	FALSE
CRC0064	FALSE
CRC0065	TRUE
CRC0066	TRUE
CRC0067	FALSE
CRC0068	FALSE
CRC0069	TRUE
CRC0072	FALSE
CRC0076	TRUE
CRC0077	FALSE
CRC0078	TRUE
CRC0079	TRUE
CRC0080	TRUE
CRC0081	TRUE
CRC0095	TRUE
CRC0096	TRUE
CRC0097	TRUE
CRC0099	TRUE
CRC0103	TRUE
CRC0106	FALSE
CRC0110	FALSE
CRC0114	FALSE
CRC0116	TRUE
CRC0118	FALSE
CRC0119	FALSE
CRC0121	FALSE
CRC0123	TRUE
CRC0124	TRUE
CRC0125	TRUE
CRC0134	TRUE
CRC0137	TRUE
CRC0148	TRUE
CRC0150	TRUE
CRC0151	TRUE
CRC0152	TRUE
CRC0161	TRUE
CRC0166	TRUE
CRC0169	TRUE
CRC0171	TRUE
CRC0175	FALSE
CRC0177	TRUE
CRC0185	FALSE
CRC0186	TRUE
CRC0188	TRUE
CRC0196	TRUE
CRC0199	FALSE
CRC0202	FALSE
CRC0204	TRUE
CRC0231	TRUE
CRC0252	FALSE
CRC0254	TRUE
CRC0257	FALSE
CRC0262	FALSE
CRC0277	TRUE
CRC0285	TRUE
CRC0291	TRUE
CRC0297	TRUE
CRC0306	FALSE
CRC0312	FALSE
CRC0316	TRUE
CRC0322	TRUE
CRC0327	TRUE
CRC0330	FALSE
CRC0344	FALSE
CRC0355	TRUE
CRC0370	TRUE
CRC0382	FALSE
CRC0399	TRUE
CRC0404	TRUE
CRC0441	TRUE
CRC0464	TRUE
CRC0475	TRUE
CRC0479	FALSE
CRC0484	FALSE
CRC0508	FALSE
CRC0515	TRUE
CRC0534	TRUE
CRC0542	TRUE
CRC0544	TRUE
CRC0568	TRUE
CRC0572	TRUE
CRC0578	TRUE
CRC0591	FALSE
CRC0680	FALSE
CRC0718	FALSE
CRC0729	TRUE
CRC0740	FALSE
CRC0743	TRUE
CRC0772	TRUE
CRC1078	TRUE
CRC1083	FALSE
CRC1090	TRUE
CRC1139	TRUE
CRC1145	TRUE
CRC1166	FALSE
CRC1169	TRUE
CRC1198	FALSE
CRC1239	TRUE
CRC1241	TRUE
CRC1251	TRUE
CRC1272	TRUE
CRC1277	FALSE
CRC1278	TRUE
CRC1303	FALSE
CRC1306	TRUE
CRC1307	TRUE
CRC1313	FALSE
CRC1314	TRUE
CRC1318	FALSE
CRC1321	TRUE
CRC1329	FALSE
CRC1331	TRUE
CRC1355	FALSE
CRC1359	TRUE
CRC1360	TRUE
CRC1367	TRUE
CRC1376	TRUE
CRC1379	FALSE
CRC1387	FALSE
CRC1389	TRUE
CRC1390	TRUE
CRC1399	TRUE
CRC1408	FALSE
CRC1430	TRUE
CRC1432	TRUE
CRC1445	TRUE
CRC1446	TRUE
CRC1449	TRUE
CRC1451	TRUE
CRC1460	TRUE
CRC1472	TRUE
CRC1474	FALSE
CRC1477	TRUE
CRC1479	FALSE
CRC1486	FALSE
CRC1501	FALSE
CRC1502	TRUE
CRC1522	FALSE
CRC1523	TRUE
CRC1530	FALSE
CRC1561	TRUE
CRC1562	FALSE
CRC1568	TRUE
CRC1575	TRUE
CRC1579	TRUE
CRC1581	FALSE
CRC1586	FALSE
CRC1588	TRUE
CRC1589	TRUE
CRC1598	TRUE
CRC1599	TRUE
CRC1605	FALSE
CRC1606	FALSE
CRC1614	TRUE
CRC1620	TRUE
CRC1628	TRUE
CRC1629	TRUE
CRC1634	TRUE
CRC1648	FALSE
CRC1650	FALSE
CRC1675	TRUE
CRC1709	FALSE
CRC1723	TRUE
CRC1729	TRUE
CRC1737	FALSE
CRC1744	TRUE
CRC1745	TRUE
CRC1746	FALSE
CRC1748	FALSE
CRC1757	TRUE
CRC1765	FALSE
CRC1774	TRUE
CRC1779	TRUE
CRC1782	TRUE
CRC1811	FALSE
CRC1816	FALSE
CRC1819	FALSE
CRC1824	FALSE
CRC1826	FALSE
CRC1868	FALSE
CRC1883	FALSE
CRC1888	TRUE
CRC1895	TRUE
CRC1900	TRUE
CRC1901	FALSE
CRC1903	TRUE
CRC1916	TRUE
CRC1917	TRUE
CRC1921	TRUE
CRC1961	TRUE
CRC1979	TRUE
CRC1989	TRUE
CRC2041	FALSE
CRC2060	FALSE
CRC2530	FALSE
CRC2540	FALSE
CRC2541	FALSE
CRC2546	FALSE
CRC2565	FALSE
CRC2572	FALSE
CRC2597	FALSE
CRC2606	FALSE
