1740D-174Q2-01_S23	CRC0022LMO0A04012002D02000
1740D-174Q2-02_S24	CRC0030LMO0A04009001D02000
1740D-174Q2-03_S25	CRC0031LMO0A04012001D02000
1740D-174Q2-04_S26	CRC0051LMO0A02005001D01000
1740D-174Q2-05_S1	CRC0059LMO0A04013001D01000
1740D-174Q2-06_S27	CRC0063LMO0A01003001D02000
1740D-174Q2-07_S2	CRC0065LMO0A04012002D01000
1740D-174Q2-08_S3	CRC0066LMO0A03011001D01000
1740D-174Q2-09_S28	CRC0069LMO0A04011001D02000
1740D-174Q2-10_S29	CRC0076LMO0B04013001D01000
1740D-174Q2-11_S4	CRC0078LMO0B01003001D03000
1740D-174Q2-12_S5	CRC0079LMO0A04018002D03000
1740D-174Q2-13_S30	CRC0080LMO0A04017001D01000
1740D-174Q2-14_S31	CRC0081LMO0A04012001D02000
1740D-174Q2-15_S296	CRC0095LMO0A05019001D01000
1740D-174Q2-16_S32	CRC0096LMO0C04018001D02000
1740D-174Q2-17_S33	CRC0097LMO0A02003001D01000
1740D-174Q2-18_S6	CRC0099LMO0A04010001D03000
1740D-174Q2-19_S34	CRC0103LMO0A01005001D01000
1740D-174Q2-20_S35	CRC0116LMO0B01009001D01000
1740D-174Q2-21_S36	CRC0123LMO0A01003001D02000
1740D-174Q2-22_S37	CRC0124LMO0B04019001D02000
1740D-174Q2-23_S38	CRC0125LMO0A04016001D02000
1740D-174Q2-24_S39	CRC0134LMO0A04009001D03000
1740D-174Q2-25_S265	CRC0137LMO0A03008001D02000
1740D-174Q2-26_S266	CRC0148LMO0A04008001D02000
1740D-174Q2-27_S267	CRC0150LMO0A01006001D02000
1740D-174Q2-28_S268	CRC0151LMO0A04007001D02000
1740D-174Q2-29_S269	CRC0152LMO0C04010001D02000
1740D-174Q2-30_S270	CRC0161LMO0C04021001D02000
1740D-174Q2-31_S7	CRC0166LMO0B01005001D01000
1740D-174Q2-32_S271	CRC0169LMO0A04014001D01000
1740D-174Q2-33_S40	CRC0171LMO0A04008001D02000
1740D-174Q2-34_S41	CRC0177LMO0A04008002D02000
1740D-174Q2-35_S42	CRC0177LMO0D04017001D02000
1740D-174Q2-36_S43	CRC0186LMO0B01003001D03000
1740D-174Q2-37_S44	CRC0188LMO0A01003001D01000
1740D-174Q2-38_S45	CRC0196LMO0B04008001D02000
1740D-174Q2-39_S46	CRC0202LMO0B01003001D02000
1740D-174Q2-40_S47	CRC0204LMO0B04012001D01000
1740D-174Q2-41_S8	CRC0231LMO0A04014001D02000
1740D-174Q2-42_S48	CRC0254LMO0B04021001D02000
1740D-174Q2-43_S49	CRC0277LMO0A03008001D02000
1740D-174Q2-44_S50	CRC0285LMO0A04008001D02000
1740D-174Q2-45_S9	CRC0291LMO0A04013001D02000
1740D-174Q2-46_S51	CRC0297LMO0B02007003D02000
1740D-174Q2-47_S52	CRC0316LMO0A02006001D02000
1740D-174Q2-48_S53	CRC0322LMO0A04009001D02000
1740D-174Q2-49_S54	CRC0327LMO0B04008001D02000
1740D-174Q2-50_S10	CRC0355LMO0B01006001D02000
1740D-174Q2-51_S55	CRC0370LMO0A01005001D01000
1740D-174Q2-52_S56	CRC0399LMO0A01003001D02000
1740D-174Q2-53_S57	CRC0404LMO0A02011003D01000
1740D-174Q2-54_S58	CRC0441LMO0A04011001D01000
1740D-174Q2-55_S59	CRC0464LMO0A01003001D02000
1740D-174Q2-56_S60	CRC0475LMO0A02004001D02000
1740D-174Q2-57_S61	CRC0515LMO0A01004001D02000
1740D-174Q2-58_S11	CRC0534LMO0B04017001D02000
1740D-174Q2-59_S62	CRC0542LMO0C04013001D02000
1740D-174Q2-60_S63	CRC0544LMO0C04018001D01000
1740D-174Q2-61_S64	CRC0568LMO0A01003001D02000
1740D-174Q2-62_S12	CRC0572LMO0A02003001D02000
1740D-174Q2-63_S13	CRC0578LMO0A04018001D02000
1740D-174Q2-64_S65	CRC0729LMO0A01003001D02000
1740D-174Q2-65_S14	CRC0743LMO0A04022001D01000
