1740D-174Q2-97_S121	CRC0254LMX0B01201TUMD03000
1740D-174Q2-98_S122	CRC1389LMX0B01001TUMD04000
1740D-174Q2-99_S123	CRC1589LMX0B01001TUMD04000
1740D-174Q2-100_S89	CRC0095LMX0B01201TUMD03000
1740D-174Q2-101_S124	CRC0078LMX0A01201TUMD09000
1740D-174Q2-102_S125	CRC1329LMX0A01001TUMD04000
1740D-174Q2-103_S126	CRC1390LMX0A01001TUMD04000
1740D-174Q2-104_S127	CRC1278LMX0A01001TUMD06000
1740D-174Q2-105_S128	CRC0729LMX0B01001TUMD07000
1740D-174Q2-106_S129	CRC0544LMX0B01001TUMD06000
1740D-174Q2-107_S90	CRC1598LMX0B01001TUMD04000
1740D-174Q2-108_S130	CRC0772LMX0A01001TUMD06000
1740D-174Q2-109_S131	CRC1451LMX0A01001TUMD04000
1740D-174Q2-110_S91	CRC0441LMX0B01001TUMD07000
1740D-174Q2-111_S92	CRC1575LMX0B01001TUMD04000
1740D-174Q2-112_S132	CRC1449LMX0B01001TUMD04000
1740D-174Q2-113_S133	CRC0065LMX0A02201TUMD07000
1740D-174Q2-114_S93	CRC1307LMX0A01001TUMD04000
1740D-174Q2-115_S94	CRC1472LMX0A01001TUMD04000
1740D-174Q2-116_S134	CRC1145LMX0B01001TUMD06000
1740D-174Q2-117_S135	CRC1502LMX0A01001TUMD04000
1740D-174Q2-118_S95	CRC1568LMX0B01001TUMD05000
1740D-174Q2-119_S136	CRC0572LMX0B01001TUMD07000
1740D-174Q2-120_S137	CRC0316LMX0A02005TUMD07000
1740D-174Q2-122_S97	CRC1445LMX0A01001TUMD04000
1740D-174Q2-123_S138	CRC1360LMX0B01001TUMD04000
1740D-174Q2-124_S139	CRC1272LMX0A02002TUMD07000
1740D-174Q2-125_S98	CRC1367LMX0A01001TUMD04000
1740D-174Q2-126_S140	CRC1314LMX0B01001TUMD04000
1740D-174Q2-127_S141	CRC0291LMX0B02201TUMD07000
1740D-174Q2-128_S142	CRC1139LMX0A01001TUMD07000
1740D-174Q2-129_S143	CRC1331LMX0B01001TUMD04000
1740D-174Q2-130_S99	CRC1563LMX0A01001TUMD04000
1740D-174Q2-131_S144	CRC1523LMX0A01001TUMD04000
1740D-174Q2-132_S100	CRC1376LMX0B01001TUMD04000
1740D-174Q2-133_S101	CRC0285LMX0B02204TUMD07000
1740D-174Q2-134_S145	CRC1078LMX0A01001TUMD07000
1740D-174Q2-135_S146	CRC1460LMX0A01001TUMD04000
1740D-174Q2-136_S147	CRC1430LMX0A01001TUMD04000
1740D-174Q2-137_S148	CRC1561LMX0B01001TUMD04000
1740D-174Q2-138_S149	CRC0399LMX0B02004TUMD09000
1740D-174Q2-139_S150	CRC1530LMX0B01001TUMD04000
1740D-174Q2-140_S151	CRC1169LMX0B01001TUMD06000
1740D-174Q2-141_S152	CRC1446LMX0A01001TUMD04000
1740D-174Q2-142_S153	CRC1566LMX0A01001TUMD04000
1740D-174Q2-143_S154	CRC0578LMX0B01001TUMD06000
1740D-174Q2-144_S155	CRC0177LMX0B05001TUMD06000
1740D-174Q2-145_S156	CRC0743LMX0A01001TUMD06000
1740D-174Q2-146_S157	CRC1448LMX0A01001TUMD04000
1740D-174Q2-147_S158	CRC1477LMX0B01001TUMD04000
1740D-174Q2-149_S159	CRC1251LMX0B01001TUMD06000
1740D-174Q2-150_S160	CRC0297LMX0A01201TUMD08000
1740D-174Q2-151_S161	CRC1090LMX0A01001TUMD06000
1740D-174Q2-152_S162	CRC1579LMX0A01001TUMD04000
1740D-174Q2-153_S103	CRC0204LMX0B01201TUMD03000
1740D-174Q2-154_S104	CRC1588LMX0B02001TUMD04000
1740D-174Q2-193_S185	CRC1620LMX0B01001TUMD05000
1740D-174Q2-194_S186	CRC1606LMX0A01001TUMD04000
1740D-174Q2-195_S187	CRC1599LMX0A01001TUMD04000
1740D-174Q2-196_S188	CRC1744LMX0A01001TUMD04000
1740D-174Q2-197_S189	CRC0177LMX0B07002TUMD04000
1740D-174Q2-198_S190	CRC0355LMX0A01201TUMD14000
1740D-174Q2-199_S191	CRC1772LMX0A01001TUMD04000
